config_a,config_b,metric,mean_a,mean_b,diff,diff_ci_low,diff_ci_high,p_value,significant,verdict
baseline,large_chunks,precision@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,recall@1,0.975000,0.975000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,ndcg@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,hit_rate@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,precision@3,0.350000,0.350000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,recall@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,ndcg@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,hit_rate@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,precision@5,0.210000,0.210000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,recall@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,ndcg@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,hit_rate@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,mrr,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,faithfulness,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,large_chunks,answer_relevance,0.168653,0.182922,-0.014269,-0.039342,0.011527,0.280072,false,no significant difference (delta=-0.0143; p=0.2801)
baseline,large_chunks,context_utilization,0.084477,0.054590,0.029887,0.019429,0.037995,0.000100,true,baseline is significantly better (delta=+0.0299; p=0.0001)
baseline,low_dim,precision@1,1.000000,0.900000,0.100000,0.025000,0.200000,0.124688,false,no significant difference (delta=+0.1000; p=0.1247)
baseline,low_dim,recall@1,0.975000,0.875000,0.100000,0.025000,0.200000,0.124688,false,no significant difference (delta=+0.1000; p=0.1247)
baseline,low_dim,ndcg@1,1.000000,0.900000,0.100000,0.025000,0.200000,0.124688,false,no significant difference (delta=+0.1000; p=0.1247)
baseline,low_dim,hit_rate@1,1.000000,0.900000,0.100000,0.025000,0.200000,0.124688,false,no significant difference (delta=+0.1000; p=0.1247)
baseline,low_dim,precision@3,0.350000,0.341667,0.008333,0.000000,0.025000,1.000000,false,no significant difference (delta=+0.0083; p=1.0000)
baseline,low_dim,recall@3,1.000000,0.975000,0.025000,0.000000,0.075000,1.000000,false,no significant difference (delta=+0.0250; p=1.0000)
baseline,low_dim,ndcg@3,1.000000,0.947320,0.052680,0.009227,0.118454,0.124688,false,no significant difference (delta=+0.0527; p=0.1247)
baseline,low_dim,hit_rate@3,1.000000,0.975000,0.025000,0.000000,0.075000,1.000000,false,no significant difference (delta=+0.0250; p=1.0000)
baseline,low_dim,precision@5,0.210000,0.205000,0.005000,0.000000,0.015000,1.000000,false,no significant difference (delta=+0.0050; p=1.0000)
baseline,low_dim,recall@5,1.000000,0.975000,0.025000,0.000000,0.075000,1.000000,false,no significant difference (delta=+0.0250; p=1.0000)
baseline,low_dim,ndcg@5,1.000000,0.947320,0.052680,0.009227,0.118454,0.124688,false,no significant difference (delta=+0.0527; p=0.1247)
baseline,low_dim,hit_rate@5,1.000000,0.975000,0.025000,0.000000,0.075000,1.000000,false,no significant difference (delta=+0.0250; p=1.0000)
baseline,low_dim,mrr,1.000000,0.937500,0.062500,0.012500,0.137500,0.124688,false,no significant difference (delta=+0.0625; p=0.1247)
baseline,low_dim,faithfulness,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
baseline,low_dim,answer_relevance,0.168653,0.123935,0.044718,0.018983,0.071626,0.001500,true,baseline is significantly better (delta=+0.0447; p=0.0015)
baseline,low_dim,context_utilization,0.084477,0.089093,-0.004616,-0.012155,0.002850,0.229777,false,no significant difference (delta=-0.0046; p=0.2298)
