config_a,config_b,metric,mean_a,mean_b,diff,diff_ci_low,diff_ci_high,p_value,significant,verdict
tfidf_baseline,minilm,precision@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,recall@1,0.975000,0.975000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,ndcg@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,hit_rate@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,precision@3,0.350000,0.350000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,recall@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,ndcg@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,hit_rate@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,precision@5,0.210000,0.210000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,recall@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,ndcg@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,hit_rate@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,mrr,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,faithfulness,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
tfidf_baseline,minilm,answer_relevance,0.168653,0.185962,-0.017308,-0.040816,0.006366,0.165983,false,no significant difference (delta=-0.0173; p=0.1660)
tfidf_baseline,minilm,context_utilization,0.084477,0.090330,-0.005853,-0.013662,0.001779,0.146985,false,no significant difference (delta=-0.0059; p=0.1470)
minilm,minilm_rerank,precision@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,recall@1,0.975000,0.975000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,ndcg@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,hit_rate@1,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,precision@3,0.350000,0.350000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,recall@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,ndcg@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,hit_rate@3,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,precision@5,0.210000,0.210000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,recall@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,ndcg@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,hit_rate@5,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,mrr,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,faithfulness,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,false,no significant difference (delta=+0.0000; p=1.0000)
minilm,minilm_rerank,answer_relevance,0.185962,0.186327,-0.000365,-0.001771,0.000929,0.626037,false,no significant difference (delta=-0.0004; p=0.6260)
minilm,minilm_rerank,context_utilization,0.090330,0.085877,0.004453,0.002160,0.006811,0.000500,true,minilm is significantly better (delta=+0.0045; p=0.0005)
