config,metric,mean,ci_low,ci_high,confidence
tfidf_baseline,precision@1,1.000000,1.000000,1.000000,0.95
tfidf_baseline,recall@1,0.975000,0.937500,1.000000,0.95
tfidf_baseline,ndcg@1,1.000000,1.000000,1.000000,0.95
tfidf_baseline,hit_rate@1,1.000000,1.000000,1.000000,0.95
tfidf_baseline,precision@3,0.350000,0.333333,0.375000,0.95
tfidf_baseline,recall@3,1.000000,1.000000,1.000000,0.95
tfidf_baseline,ndcg@3,1.000000,1.000000,1.000000,0.95
tfidf_baseline,hit_rate@3,1.000000,1.000000,1.000000,0.95
tfidf_baseline,precision@5,0.210000,0.200000,0.225000,0.95
tfidf_baseline,recall@5,1.000000,1.000000,1.000000,0.95
tfidf_baseline,ndcg@5,1.000000,1.000000,1.000000,0.95
tfidf_baseline,hit_rate@5,1.000000,1.000000,1.000000,0.95
tfidf_baseline,mrr,1.000000,1.000000,1.000000,0.95
tfidf_baseline,faithfulness,1.000000,1.000000,1.000000,0.95
tfidf_baseline,answer_relevance,0.168653,0.138119,0.200454,0.95
tfidf_baseline,context_utilization,0.084477,0.079941,0.089364,0.95
minilm,precision@1,1.000000,1.000000,1.000000,0.95
minilm,recall@1,0.975000,0.937500,1.000000,0.95
minilm,ndcg@1,1.000000,1.000000,1.000000,0.95
minilm,hit_rate@1,1.000000,1.000000,1.000000,0.95
minilm,precision@3,0.350000,0.333333,0.375000,0.95
minilm,recall@3,1.000000,1.000000,1.000000,0.95
minilm,ndcg@3,1.000000,1.000000,1.000000,0.95
minilm,hit_rate@3,1.000000,1.000000,1.000000,0.95
minilm,precision@5,0.210000,0.200000,0.225000,0.95
minilm,recall@5,1.000000,1.000000,1.000000,0.95
minilm,ndcg@5,1.000000,1.000000,1.000000,0.95
minilm,hit_rate@5,1.000000,1.000000,1.000000,0.95
minilm,mrr,1.000000,1.000000,1.000000,0.95
minilm,faithfulness,1.000000,1.000000,1.000000,0.95
minilm,answer_relevance,0.185962,0.154469,0.218770,0.95
minilm,context_utilization,0.090330,0.084406,0.096699,0.95
minilm_rerank,precision@1,1.000000,1.000000,1.000000,0.95
minilm_rerank,recall@1,0.975000,0.937500,1.000000,0.95
minilm_rerank,ndcg@1,1.000000,1.000000,1.000000,0.95
minilm_rerank,hit_rate@1,1.000000,1.000000,1.000000,0.95
minilm_rerank,precision@3,0.350000,0.333333,0.375000,0.95
minilm_rerank,recall@3,1.000000,1.000000,1.000000,0.95
minilm_rerank,ndcg@3,1.000000,1.000000,1.000000,0.95
minilm_rerank,hit_rate@3,1.000000,1.000000,1.000000,0.95
minilm_rerank,precision@5,0.210000,0.200000,0.225000,0.95
minilm_rerank,recall@5,1.000000,1.000000,1.000000,0.95
minilm_rerank,ndcg@5,1.000000,1.000000,1.000000,0.95
minilm_rerank,hit_rate@5,1.000000,1.000000,1.000000,0.95
minilm_rerank,mrr,1.000000,1.000000,1.000000,0.95
minilm_rerank,faithfulness,1.000000,1.000000,1.000000,0.95
minilm_rerank,answer_relevance,0.186327,0.155555,0.218493,0.95
minilm_rerank,context_utilization,0.085877,0.080432,0.091862,0.95
