config,example_id,precision@1,recall@1,ndcg@1,hit_rate@1,precision@3,recall@3,ndcg@3,hit_rate@3,precision@5,recall@5,ndcg@5,hit_rate@5,mrr,faithfulness,answer_relevance,context_utilization
baseline,q01,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.307654,0.080000
baseline,q02,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.140972,0.083333
baseline,q03,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.046971,0.103448
baseline,q04,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.090909
baseline,q05,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.299496,0.071429
baseline,q06,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.086957
baseline,q07,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.293916,0.074074
baseline,q08,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.145621,0.080000
baseline,q09,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.226363,0.064516
baseline,q10,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.161434,0.125000
baseline,q11,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.368597,0.071429
baseline,q12,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.078856,0.107143
baseline,q13,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.082503,0.076923
baseline,q14,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.071709,0.103448
baseline,q15,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.111688,0.074074
baseline,q16,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.067268,0.074074
baseline,q17,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.285403,0.080000
baseline,q18,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.092833,0.120000
baseline,q19,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.088706,0.080000
baseline,q20,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.189425,0.103448
baseline,q21,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.096782,0.074074
baseline,q22,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.046712,0.074074
baseline,q23,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.167062,0.111111
baseline,q24,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.251431,0.068966
baseline,q25,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.083635,0.080000
baseline,q26,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.377839,0.086957
baseline,q27,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.214106,0.076923
baseline,q28,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.319133,0.074074
baseline,q29,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.131477,0.090909
baseline,q30,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.207812,0.103448
baseline,q31,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.217930,0.062500
