config,metric,mean,ci_low,ci_high,confidence
baseline,precision@1,1.000000,1.000000,1.000000,0.95
baseline,recall@1,0.975000,0.937500,1.000000,0.95
baseline,ndcg@1,1.000000,1.000000,1.000000,0.95
baseline,hit_rate@1,1.000000,1.000000,1.000000,0.95
baseline,precision@3,0.350000,0.333333,0.375000,0.95
baseline,recall@3,1.000000,1.000000,1.000000,0.95
baseline,ndcg@3,1.000000,1.000000,1.000000,0.95
baseline,hit_rate@3,1.000000,1.000000,1.000000,0.95
baseline,precision@5,0.210000,0.200000,0.225000,0.95
baseline,recall@5,1.000000,1.000000,1.000000,0.95
baseline,ndcg@5,1.000000,1.000000,1.000000,0.95
baseline,hit_rate@5,1.000000,1.000000,1.000000,0.95
baseline,mrr,1.000000,1.000000,1.000000,0.95
baseline,faithfulness,1.000000,1.000000,1.000000,0.95
baseline,answer_relevance,0.168653,0.138119,0.200454,0.95
baseline,context_utilization,0.084477,0.079941,0.089364,0.95
large_chunks,precision@1,1.000000,1.000000,1.000000,0.95
large_chunks,recall@1,0.975000,0.937500,1.000000,0.95
large_chunks,ndcg@1,1.000000,1.000000,1.000000,0.95
large_chunks,hit_rate@1,1.000000,1.000000,1.000000,0.95
large_chunks,precision@3,0.350000,0.333333,0.375000,0.95
large_chunks,recall@3,1.000000,1.000000,1.000000,0.95
large_chunks,ndcg@3,1.000000,1.000000,1.000000,0.95
large_chunks,hit_rate@3,1.000000,1.000000,1.000000,0.95
large_chunks,precision@5,0.210000,0.200000,0.225000,0.95
large_chunks,recall@5,1.000000,1.000000,1.000000,0.95
large_chunks,ndcg@5,1.000000,1.000000,1.000000,0.95
large_chunks,hit_rate@5,1.000000,1.000000,1.000000,0.95
large_chunks,mrr,1.000000,1.000000,1.000000,0.95
large_chunks,faithfulness,1.000000,1.000000,1.000000,0.95
large_chunks,answer_relevance,0.182922,0.151821,0.214664,0.95
large_chunks,context_utilization,0.054590,0.047508,0.064991,0.95
low_dim,precision@1,0.900000,0.800000,0.975000,0.95
low_dim,recall@1,0.875000,0.775000,0.962500,0.95
low_dim,ndcg@1,0.900000,0.800000,0.975000,0.95
low_dim,hit_rate@1,0.900000,0.800000,0.975000,0.95
low_dim,precision@3,0.341667,0.316667,0.375000,0.95
low_dim,recall@3,0.975000,0.925000,1.000000,0.95
low_dim,ndcg@3,0.947320,0.881546,0.990773,0.95
low_dim,hit_rate@3,0.975000,0.925000,1.000000,0.95
low_dim,precision@5,0.205000,0.190000,0.225000,0.95
low_dim,recall@5,0.975000,0.925000,1.000000,0.95
low_dim,ndcg@5,0.947320,0.881546,0.990773,0.95
low_dim,hit_rate@5,0.975000,0.925000,1.000000,0.95
low_dim,mrr,0.937500,0.862500,0.987500,0.95
low_dim,faithfulness,1.000000,1.000000,1.000000,0.95
low_dim,answer_relevance,0.123935,0.092870,0.156242,0.95
low_dim,context_utilization,0.089093,0.083326,0.095288,0.95
